studentID,firstName,lastName,Email,Subjects,SubjectsGrades,Competencies
45155054,Hamid,Pedro,hamid.pedro@mail.concordia.ca,"['ACCO230', 'ACCO440', 'ACCO220', 'ACCO400', 'ACCO330']","[['ACCO230', 'B+'], ['ACCO440', 'B'], ['ACCO220', 'B'], ['ACCO400', 'A'], ['ACCO330', 'A']]","['P12', 'P13', 'P14', 'P15', 'P11', 'P81', 'P83', 'P82', 'P84', 'P85', 'P04', 'P03', 'P05', 'P01', 'P02', 'P73', 'P74', 'P72', 'P71', 'P75', 'P45', 'P41', 'P44', 'P43', 'P42']"
40896870,Azedine,Matas,azedine.matas@mail.concordia.ca,['ACCO230'],"[['ACCO230', 'B']]","['P12', 'P13', 'P14', 'P15', 'P11']"
44702663,Forgan,Musse,forgan.musse@mail.concordia.ca,"['ACCO230', 'ACCO465', 'ACCO310', 'ACCO400', 'ACCO240', 'ACCO330', 'ACCO340', 'ACCO350', 'ACCO220']","[['ACCO230', 'B-'], ['ACCO465', 'A'], ['ACCO310', 'A'], ['ACCO400', 'B+'], ['ACCO240', 'B'], ['ACCO330', 'B'], ['ACCO340', 'A'], ['ACCO350', 'A-'], ['ACCO220', 'A-']]","['P12', 'P13', 'P14', 'P15', 'P11', 'P92', 'P93', 'P95', 'P94', 'P91', 'P33', 'P32', 'P35', 'P31', 'P34', 'P73', 'P74', 'P72', 'P71', 'P75', 'P25', 'P21', 'P22', 'P24', 'P23', 'P45', 'P41', 'P44', 'P43', 'P42', 'P55', 'P52', 'P53', 'P54', 'P51', 'P65', 'P61', 'P64', 'P62', 'P63', 'P04', 'P03', 'P05', 'P01', 'P02']"
46536159,J,Ronnie,j.ronnie@mail.concordia.ca,"['ACCO220', 'ACCO340', 'ACCO230', 'ACCO465', 'ACCO400', 'ACCO310']","[['ACCO220', 'B+'], ['ACCO340', 'B-'], ['ACCO230', 'A'], ['ACCO465', 'B+'], ['ACCO400', 'B-'], ['ACCO310', 'B']]","['P04', 'P03', 'P05', 'P01', 'P02', 'P55', 'P52', 'P53', 'P54', 'P51', 'P12', 'P13', 'P14', 'P15', 'P11', 'P92', 'P93', 'P95', 'P94', 'P91', 'P73', 'P74', 'P72', 'P71', 'P75', 'P33', 'P32', 'P35', 'P31', 'P34']"
40357141,Amin,Mathuyan,amin.mathuyan@mail.concordia.ca,"['ACCO465', 'ACCO220', 'ACCO330', 'ACCO230', 'ACCO240', 'ACCO400', 'ACCO340']","[['ACCO465', 'B+'], ['ACCO220', 'A'], ['ACCO330', 'A'], ['ACCO230', 'B+'], ['ACCO240', 'B-'], ['ACCO400', 'A-'], ['ACCO340', 'B-']]","['P92', 'P93', 'P95', 'P94', 'P91', 'P04', 'P03', 'P05', 'P01', 'P02', 'P45', 'P41', 'P44', 'P43', 'P42', 'P12', 'P13', 'P14', 'P15', 'P11', 'P25', 'P21', 'P22', 'P24', 'P23', 'P73', 'P74', 'P72', 'P71', 'P75', 'P55', 'P52', 'P53', 'P54', 'P51']"
48783821,Alan,Kellan,alan.kellan@mail.concordia.ca,"['ACCO230', 'ACCO440', 'ACCO400']","[['ACCO230', 'B+'], ['ACCO440', 'B'], ['ACCO400', 'A-']]","['P12', 'P13', 'P14', 'P15', 'P11', 'P81', 'P83', 'P82', 'P84', 'P85', 'P73', 'P74', 'P72', 'P71', 'P75']"
45557342,Abaan,Reiss,abaan.reiss@mail.concordia.ca,"['ACCO440', 'ACCO350', 'ACCO465', 'ACCO400']","[['ACCO440', 'B+'], ['ACCO350', 'B-'], ['ACCO465', 'A-'], ['ACCO400', 'B']]","['P81', 'P83', 'P82', 'P84', 'P85', 'P65', 'P61', 'P64', 'P62', 'P63', 'P92', 'P93', 'P95', 'P94', 'P91', 'P73', 'P74', 'P72', 'P71', 'P75']"
44564490,Al-Hassan,Sayeed,al-hassan.sayeed@mail.concordia.ca,"['ACCO350', 'ACCO440', 'ACCO465', 'ACCO230', 'ACCO400', 'ACCO220', 'ACCO340', 'ACCO330']","[['ACCO350', 'B-'], ['ACCO440', 'B-'], ['ACCO465', 'B'], ['ACCO230', 'B+'], ['ACCO400', 'A'], ['ACCO220', 'A'], ['ACCO340', 'A'], ['ACCO330', 'A']]","['P65', 'P61', 'P64', 'P62', 'P63', 'P81', 'P83', 'P82', 'P84', 'P85', 'P92', 'P93', 'P95', 'P94', 'P91', 'P12', 'P13', 'P14', 'P15', 'P11', 'P73', 'P74', 'P72', 'P71', 'P75', 'P04', 'P03', 'P05', 'P01', 'P02', 'P55', 'P52', 'P53', 'P54', 'P51', 'P45', 'P41', 'P44', 'P43', 'P42']"
40868076,Hope,Kedrick,hope.kedrick@mail.concordia.ca,"['ACCO465', 'ACCO220', 'ACCO230', 'ACCO340', 'ACCO310']","[['ACCO465', 'A'], ['ACCO220', 'B+'], ['ACCO230', 'A-'], ['ACCO340', 'A-'], ['ACCO310', 'A-']]","['P92', 'P93', 'P95', 'P94', 'P91', 'P04', 'P03', 'P05', 'P01', 'P02', 'P12', 'P13', 'P14', 'P15', 'P11', 'P55', 'P52', 'P53', 'P54', 'P51', 'P33', 'P32', 'P35', 'P31', 'P34']"
43761911,Colt,Rocco,colt.rocco@mail.concordia.ca,['ACCO340'],"[['ACCO340', 'B-']]","['P55', 'P52', 'P53', 'P54', 'P51']"
48134720,Iain,Owyn,iain.owyn@mail.concordia.ca,"['ACCO310', 'ACCO340']","[['ACCO310', 'A-'], ['ACCO340', 'A-']]","['P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51']"
49767405,Abdallah,Shenuk,abdallah.shenuk@mail.concordia.ca,"['ACCO465', 'ACCO350', 'ACCO440']","[['ACCO465', 'B+'], ['ACCO350', 'A-'], ['ACCO440', 'A-']]","['P92', 'P93', 'P95', 'P94', 'P91', 'P65', 'P61', 'P64', 'P62', 'P63', 'P81', 'P83', 'P82', 'P84', 'P85']"
40563004,Jonson,Tomson,jonson.tomson@mail.concordia.ca,"['ACCO340', 'ACCO240', 'ACCO400', 'ACCO440', 'ACCO465', 'ACCO220', 'ACCO310', 'ACCO330', 'ACCO350']","[['ACCO340', 'B'], ['ACCO240', 'B-'], ['ACCO400', 'B-'], ['ACCO440', 'B+'], ['ACCO465', 'B'], ['ACCO220', 'A-'], ['ACCO310', 'B-'], ['ACCO330', 'B-'], ['ACCO350', 'B']]","['P55', 'P52', 'P53', 'P54', 'P51', 'P25', 'P21', 'P22', 'P24', 'P23', 'P73', 'P74', 'P72', 'P71', 'P75', 'P81', 'P83', 'P82', 'P84', 'P85', 'P92', 'P93', 'P95', 'P94', 'P91', 'P04', 'P03', 'P05', 'P01', 'P02', 'P33', 'P32', 'P35', 'P31', 'P34', 'P45', 'P41', 'P44', 'P43', 'P42', 'P65', 'P61', 'P64', 'P62', 'P63']"
47929317,Asim,Wasif,asim.wasif@mail.concordia.ca,"['ACCO440', 'ACCO400', 'ACCO310', 'ACCO330', 'ACCO465']","[['ACCO440', 'B-'], ['ACCO400', 'B-'], ['ACCO310', 'B+'], ['ACCO330', 'A-'], ['ACCO465', 'A']]","['P81', 'P83', 'P82', 'P84', 'P85', 'P73', 'P74', 'P72', 'P71', 'P75', 'P33', 'P32', 'P35', 'P31', 'P34', 'P45', 'P41', 'P44', 'P43', 'P42', 'P92', 'P93', 'P95', 'P94', 'P91']"
44093428,Hussan,Sol,hussan.sol@mail.concordia.ca,"['ACCO440', 'ACCO465']","[['ACCO440', 'A-'], ['ACCO465', 'B-']]","['P81', 'P83', 'P82', 'P84', 'P85', 'P92', 'P93', 'P95', 'P94', 'P91']"
43814632,Franciszek,Rayden,franciszek.rayden@mail.concordia.ca,"['ACCO330', 'ACCO350', 'ACCO340', 'ACCO310', 'ACCO440', 'ACCO220', 'ACCO230', 'ACCO465']","[['ACCO330', 'B-'], ['ACCO350', 'B-'], ['ACCO340', 'B-'], ['ACCO310', 'A-'], ['ACCO440', 'A-'], ['ACCO220', 'A-'], ['ACCO230', 'A'], ['ACCO465', 'B']]","['P45', 'P41', 'P44', 'P43', 'P42', 'P65', 'P61', 'P64', 'P62', 'P63', 'P55', 'P52', 'P53', 'P54', 'P51', 'P33', 'P32', 'P35', 'P31', 'P34', 'P81', 'P83', 'P82', 'P84', 'P85', 'P04', 'P03', 'P05', 'P01', 'P02', 'P12', 'P13', 'P14', 'P15', 'P11', 'P92', 'P93', 'P95', 'P94', 'P91']"
49216817,Gideon,Stefan,gideon.stefan@mail.concordia.ca,"['ACCO465', 'ACCO230', 'ACCO310', 'ACCO340', 'ACCO350']","[['ACCO465', 'B+'], ['ACCO230', 'B+'], ['ACCO310', 'B'], ['ACCO340', 'B'], ['ACCO350', 'B']]","['P92', 'P93', 'P95', 'P94', 'P91', 'P12', 'P13', 'P14', 'P15', 'P11', 'P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P65', 'P61', 'P64', 'P62', 'P63']"
47269819,Chiron,Kean,chiron.kean@mail.concordia.ca,"['ACCO330', 'ACCO310', 'ACCO240', 'ACCO400', 'ACCO350']","[['ACCO330', 'A'], ['ACCO310', 'A-'], ['ACCO240', 'A-'], ['ACCO400', 'A-'], ['ACCO350', 'B']]","['P45', 'P41', 'P44', 'P43', 'P42', 'P33', 'P32', 'P35', 'P31', 'P34', 'P25', 'P21', 'P22', 'P24', 'P23', 'P73', 'P74', 'P72', 'P71', 'P75', 'P65', 'P61', 'P64', 'P62', 'P63']"
41154187,Eason,Oakley,eason.oakley@mail.concordia.ca,"['ACCO350', 'ACCO400', 'ACCO230', 'ACCO330', 'ACCO340', 'ACCO240', 'ACCO465']","[['ACCO350', 'B-'], ['ACCO400', 'A'], ['ACCO230', 'A-'], ['ACCO330', 'A-'], ['ACCO340', 'B-'], ['ACCO240', 'B-'], ['ACCO465', 'B']]","['P65', 'P61', 'P64', 'P62', 'P63', 'P73', 'P74', 'P72', 'P71', 'P75', 'P12', 'P13', 'P14', 'P15', 'P11', 'P45', 'P41', 'P44', 'P43', 'P42', 'P55', 'P52', 'P53', 'P54', 'P51', 'P25', 'P21', 'P22', 'P24', 'P23', 'P92', 'P93', 'P95', 'P94', 'P91']"
48562382,Isaac,Orrick,isaac.orrick@mail.concordia.ca,"['ACCO350', 'ACCO230', 'ACCO240', 'ACCO340', 'ACCO465', 'ACCO330', 'ACCO400', 'ACCO310']","[['ACCO350', 'A'], ['ACCO230', 'A'], ['ACCO240', 'B-'], ['ACCO340', 'A-'], ['ACCO465', 'A'], ['ACCO330', 'B+'], ['ACCO400', 'B'], ['ACCO310', 'B+']]","['P65', 'P61', 'P64', 'P62', 'P63', 'P12', 'P13', 'P14', 'P15', 'P11', 'P25', 'P21', 'P22', 'P24', 'P23', 'P55', 'P52', 'P53', 'P54', 'P51', 'P92', 'P93', 'P95', 'P94', 'P91', 'P45', 'P41', 'P44', 'P43', 'P42', 'P73', 'P74', 'P72', 'P71', 'P75', 'P33', 'P32', 'P35', 'P31', 'P34']"
40347626,Aiden-Jack,Lenny,aiden-jack.lenny@mail.concordia.ca,"['ACCO310', 'ACCO465', 'ACCO220', 'ACCO240', 'ACCO230', 'ACCO400']","[['ACCO310', 'A'], ['ACCO465', 'B+'], ['ACCO220', 'A-'], ['ACCO240', 'A-'], ['ACCO230', 'B'], ['ACCO400', 'A']]","['P33', 'P32', 'P35', 'P31', 'P34', 'P92', 'P93', 'P95', 'P94', 'P91', 'P04', 'P03', 'P05', 'P01', 'P02', 'P25', 'P21', 'P22', 'P24', 'P23', 'P12', 'P13', 'P14', 'P15', 'P11', 'P73', 'P74', 'P72', 'P71', 'P75']"
47856659,Bradan,Saim,bradan.saim@mail.concordia.ca,"['ACCO465', 'ACCO310', 'ACCO340', 'ACCO400']","[['ACCO465', 'A'], ['ACCO310', 'B-'], ['ACCO340', 'B+'], ['ACCO400', 'B+']]","['P92', 'P93', 'P95', 'P94', 'P91', 'P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P73', 'P74', 'P72', 'P71', 'P75']"
46458062,Jamal,Ridwan,jamal.ridwan@mail.concordia.ca,"['ACCO350', 'ACCO310', 'ACCO340', 'ACCO220']","[['ACCO350', 'A'], ['ACCO310', 'A-'], ['ACCO340', 'A-'], ['ACCO220', 'A']]","['P65', 'P61', 'P64', 'P62', 'P63', 'P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P04', 'P03', 'P05', 'P01', 'P02']"
48627728,Dougal,Leyland,dougal.leyland@mail.concordia.ca,"['ACCO310', 'ACCO340', 'ACCO230', 'ACCO465', 'ACCO400', 'ACCO220', 'ACCO350', 'ACCO240']","[['ACCO310', 'B'], ['ACCO340', 'A-'], ['ACCO230', 'B-'], ['ACCO465', 'B+'], ['ACCO400', 'B+'], ['ACCO220', 'A'], ['ACCO350', 'B-'], ['ACCO240', 'A-']]","['P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P12', 'P13', 'P14', 'P15', 'P11', 'P92', 'P93', 'P95', 'P94', 'P91', 'P73', 'P74', 'P72', 'P71', 'P75', 'P04', 'P03', 'P05', 'P01', 'P02', 'P65', 'P61', 'P64', 'P62', 'P63', 'P25', 'P21', 'P22', 'P24', 'P23']"
46497833,Iain,Mark,iain.mark@mail.concordia.ca,"['ACCO400', 'ACCO330', 'ACCO220', 'ACCO440']","[['ACCO400', 'B'], ['ACCO330', 'B-'], ['ACCO220', 'B'], ['ACCO440', 'B-']]","['P73', 'P74', 'P72', 'P71', 'P75', 'P45', 'P41', 'P44', 'P43', 'P42', 'P04', 'P03', 'P05', 'P01', 'P02', 'P81', 'P83', 'P82', 'P84', 'P85']"
42194600,Griffyn,Miles,griffyn.miles@mail.concordia.ca,"['ACCO330', 'ACCO440', 'ACCO230', 'ACCO310', 'ACCO340', 'ACCO350', 'ACCO220', 'ACCO240']","[['ACCO330', 'A-'], ['ACCO440', 'A-'], ['ACCO230', 'A'], ['ACCO310', 'A'], ['ACCO340', 'B-'], ['ACCO350', 'B'], ['ACCO220', 'A-'], ['ACCO240', 'B+']]","['P45', 'P41', 'P44', 'P43', 'P42', 'P81', 'P83', 'P82', 'P84', 'P85', 'P12', 'P13', 'P14', 'P15', 'P11', 'P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P65', 'P61', 'P64', 'P62', 'P63', 'P04', 'P03', 'P05', 'P01', 'P02', 'P25', 'P21', 'P22', 'P24', 'P23']"
46436682,Abdullah,Kit,abdullah.kit@mail.concordia.ca,"['ACCO220', 'ACCO465', 'ACCO350', 'ACCO440', 'ACCO330', 'ACCO340', 'ACCO400']","[['ACCO220', 'B'], ['ACCO465', 'B+'], ['ACCO350', 'A-'], ['ACCO440', 'B'], ['ACCO330', 'B+'], ['ACCO340', 'B'], ['ACCO400', 'A']]","['P04', 'P03', 'P05', 'P01', 'P02', 'P92', 'P93', 'P95', 'P94', 'P91', 'P65', 'P61', 'P64', 'P62', 'P63', 'P81', 'P83', 'P82', 'P84', 'P85', 'P45', 'P41', 'P44', 'P43', 'P42', 'P55', 'P52', 'P53', 'P54', 'P51', 'P73', 'P74', 'P72', 'P71', 'P75']"
46860738,Boyd,Preston,boyd.preston@mail.concordia.ca,"['ACCO310', 'ACCO350', 'ACCO220', 'ACCO340', 'ACCO330']","[['ACCO310', 'A'], ['ACCO350', 'B-'], ['ACCO220', 'B+'], ['ACCO340', 'B'], ['ACCO330', 'B-']]","['P33', 'P32', 'P35', 'P31', 'P34', 'P65', 'P61', 'P64', 'P62', 'P63', 'P04', 'P03', 'P05', 'P01', 'P02', 'P55', 'P52', 'P53', 'P54', 'P51', 'P45', 'P41', 'P44', 'P43', 'P42']"
42309946,Emil,Marios,emil.marios@mail.concordia.ca,['ACCO340'],"[['ACCO340', 'A-']]","['P55', 'P52', 'P53', 'P54', 'P51']"
40152760,Finnen,Ruben,finnen.ruben@mail.concordia.ca,"['ACCO230', 'ACCO340', 'ACCO240', 'ACCO220', 'ACCO465', 'ACCO400', 'ACCO330', 'ACCO350']","[['ACCO230', 'A-'], ['ACCO340', 'B+'], ['ACCO240', 'B'], ['ACCO220', 'B'], ['ACCO465', 'B+'], ['ACCO400', 'B'], ['ACCO330', 'B+'], ['ACCO350', 'A-']]","['P12', 'P13', 'P14', 'P15', 'P11', 'P55', 'P52', 'P53', 'P54', 'P51', 'P25', 'P21', 'P22', 'P24', 'P23', 'P04', 'P03', 'P05', 'P01', 'P02', 'P92', 'P93', 'P95', 'P94', 'P91', 'P73', 'P74', 'P72', 'P71', 'P75', 'P45', 'P41', 'P44', 'P43', 'P42', 'P65', 'P61', 'P64', 'P62', 'P63']"
43637447,Jebadiah,Thomson,jebadiah.thomson@mail.concordia.ca,"['ACCO400', 'ACCO220', 'ACCO465', 'ACCO310', 'ACCO230', 'ACCO440', 'ACCO350', 'ACCO330', 'ACCO240']","[['ACCO400', 'B+'], ['ACCO220', 'A-'], ['ACCO465', 'A'], ['ACCO310', 'A'], ['ACCO230', 'B-'], ['ACCO440', 'A'], ['ACCO350', 'A-'], ['ACCO330', 'A-'], ['ACCO240', 'B-']]","['P73', 'P74', 'P72', 'P71', 'P75', 'P04', 'P03', 'P05', 'P01', 'P02', 'P92', 'P93', 'P95', 'P94', 'P91', 'P33', 'P32', 'P35', 'P31', 'P34', 'P12', 'P13', 'P14', 'P15', 'P11', 'P81', 'P83', 'P82', 'P84', 'P85', 'P65', 'P61', 'P64', 'P62', 'P63', 'P45', 'P41', 'P44', 'P43', 'P42', 'P25', 'P21', 'P22', 'P24', 'P23']"
48324906,Cruz,Nuada,cruz.nuada@mail.concordia.ca,"['ACCO240', 'ACCO400', 'ACCO440']","[['ACCO240', 'B+'], ['ACCO400', 'A'], ['ACCO440', 'B']]","['P25', 'P21', 'P22', 'P24', 'P23', 'P73', 'P74', 'P72', 'P71', 'P75', 'P81', 'P83', 'P82', 'P84', 'P85']"
47876360,Donald,Rudy,donald.rudy@mail.concordia.ca,"['ACCO440', 'ACCO230', 'ACCO350', 'ACCO465', 'ACCO220', 'ACCO340', 'ACCO400', 'ACCO310', 'ACCO240']","[['ACCO440', 'B'], ['ACCO230', 'B+'], ['ACCO350', 'A'], ['ACCO465', 'A-'], ['ACCO220', 'A'], ['ACCO340', 'B-'], ['ACCO400', 'A-'], ['ACCO310', 'B+'], ['ACCO240', 'A']]","['P81', 'P83', 'P82', 'P84', 'P85', 'P12', 'P13', 'P14', 'P15', 'P11', 'P65', 'P61', 'P64', 'P62', 'P63', 'P92', 'P93', 'P95', 'P94', 'P91', 'P04', 'P03', 'P05', 'P01', 'P02', 'P55', 'P52', 'P53', 'P54', 'P51', 'P73', 'P74', 'P72', 'P71', 'P75', 'P33', 'P32', 'P35', 'P31', 'P34', 'P25', 'P21', 'P22', 'P24', 'P23']"
41677494,Braiden,Kofi,braiden.kofi@mail.concordia.ca,['ACCO230'],"[['ACCO230', 'A']]","['P12', 'P13', 'P14', 'P15', 'P11']"
49171014,Jazz,Kayne,jazz.kayne@mail.concordia.ca,"['ACCO230', 'ACCO465', 'ACCO310', 'ACCO340', 'ACCO330', 'ACCO220', 'ACCO350', 'ACCO400']","[['ACCO230', 'B+'], ['ACCO465', 'B'], ['ACCO310', 'B+'], ['ACCO340', 'A'], ['ACCO330', 'A-'], ['ACCO220', 'A-'], ['ACCO350', 'A'], ['ACCO400', 'B']]","['P12', 'P13', 'P14', 'P15', 'P11', 'P92', 'P93', 'P95', 'P94', 'P91', 'P33', 'P32', 'P35', 'P31', 'P34', 'P55', 'P52', 'P53', 'P54', 'P51', 'P45', 'P41', 'P44', 'P43', 'P42', 'P04', 'P03', 'P05', 'P01', 'P02', 'P65', 'P61', 'P64', 'P62', 'P63', 'P73', 'P74', 'P72', 'P71', 'P75']"
